"id";"name"
14;"Action"
15;"Adult"
16;"Adventure"
17;"Animation"
18;"Biography"
19;"Comedy"
20;"Crime"
21;"Documentary"
1;"Drama"
4;"Family"
5;"Fantasy"
2;"History"
3;"Horror"
6;"Musical"
7;"Mystery"
11;"Romance"
8;"Sci-Fi"
13;"Sport"
12;"Thriller"
9;"War"
10;"Western"
